INPUT,REFERENCE,MACHINE_TRANSLATION,TER_Score,Average TER_Score
Ket isu kinunana Nangngegco ti timecmo iti minuyongan ket nagbutengac ta silalamolamoac ket naglemmengac,at sinabi niya sinong nagsabi sa iyong ikaw ay hubad,at kaniyang sinabi nagsabi ang tinig sa halamanan at nagbutengac at silalamolamoac at naglemmengac,110.0,
Ket kinunana kencuana Siasino aya ti nangibaga kenca a silalamolamoca,nakakain ka ba ng bunga ng punong kahoy na iniutos ko sa iyong huwag mong kanin,at sinabi kaniya sinomang ba ang inyo iyo na silalamolamoca,93.75,
Nanganca iti cayo nga imbilinco kenca a dica canen,at sinabi ng lalake ang babaing ibinigay mong aking kasamahin ay siyang nagbigay sa akin ng bunga ng punong kahoy at aking kinain,kakain sa kahoy na lahat iyo na mo lumabas,95.65,
Ket ti lalaki kinunana Ti babai nga intedmo a caduac iniccannac iti bungana ket kinnanco,at sinabi ng panginoong dios sa babae ano itong iyong ginawa,at ang lalake sinabi ang iyong na ibinigay na akin nagbigay sa kayo at kinnanco,118.18,
Idin ni Jehova Dios kinunana iti babai Ania daytoy nga inaramidmo,at sinabi ng babae dinaya ako ng ahas at akoy kumain,sinabi si panginoon dios sinabi sa babae alin mo na ito,100.0,
Ket ti babai kinunana Ti uleg inulbodnac ket nanganac,at sinabi ng panginoong dios sa ahas sapagkat ginawa mo ito ay sumpain ka ng higit sa lahat ng hayop at ng higit sa bawat ganid sa parang ang iyong tiyan ang ilalakad mo at alabok ang iyong kakanin sa lahat ng mga araw ng iyong buhay,at ang babae sinabi ang ahas inulbodnac at nanganac,91.49,
Ket ni Jehova Dios kinunana idi uleg Gapu ta inaramidmo daytoy nailunodca a nangnangrona ngem cadagiti isuamin nga animal a naamo ken animal a narungsot iti daga ta barucongmo ti ipagnamto ket ti tapuc ti canemto iti isuamin nga aldaw ti panagbiagmo,at papagaalitin ko ikaw at ang babae at ang iyong binhi at ang kaniyang binhi ito ang dudurog ng iyong ulo at ikaw ang dudurog ng kaniyang sakong,at si panginoon dios sinabi nang ahas dahil at ito ito sinumpa na nangnangrona ngunit sa isuamin na makakain na naamo sa hayop na hayop sa lupain at iyong ang ipagnamto at ang nangagsisiusad ang canemto sa isuamin na araw ang lupain ,132.14,
Ket Siac pagginnuraencayto iti babai ken ti caputotam ken ti caputotanna daytoy sugatennanto ta olom ket sica sugatemto ti mucodna,sinabi niya sa babae pararamihin kong lubha ang iyong kalumbayan at ang iyong paglilihi manganganak kang may kahirapan at sa iyong asawa ay pahihinuhod ang iyong kalooban at siyay papapanginoon sa iyo,at hindi pararamihin sa babae sa ang iyo sa ang niya mo iyong at manganganak at iyong sugatemto ang mucodna,75.0,
Ket idi babai kinunana Paaduecto unay dagiti ututmo ken ti panagsicugmo iti adu a rigat ipasngaymonto dagiti annacmo ket iti asawam isunto ti calicaguman ket isu iturayannacanto,at kay adam ay sinabi sapagkat iyong dininig ang tinig ng iyong asawa at kumain ka ng bunga ng punong kahoy na aking iniutos sa iyo na sinabi huwag kang kakain niyaon sumpain ang lupa dahil sa iyo kakain ka sa kaniya sa pamamagitan ng iyong pagpapagal sa lahat ng mga araw ng iyong buhay,at nang babae sinabi paaduecto totoong ang ututmo sa ang panagsicugmo sa ako na panginoon ipasngaymonto ang anak at sa dawag ito ang kalooban at kaniyang sinabi ,87.27,
Ket ken Adan kinunana Gapu ta inanamungam ti sao ni asawam ket nanganca iti cayo nga inbilinco kenca a kinunac Dica manganto iti daydiay nailunod ti daga gapu kenca babaen ti rigat mangancanto kencuana iti isuamin nga aldaw ti panagbiagmo,ang isisibol niyaon sa iyo ay mga tinik at mga dawag at kakain ka ng pananim sa parang,at sa isisibol kaniyang dahil at inanamungam ang salita si dawag at kakain sa kahoy na inbilinco iyo na yaon mo malinis sa kaniyang nailunod ang lupain dahil ko pamamagitan ang panginoon kakain kaniya sa isuamin na araw ang lupain ,188.89,
Sisiit met ken calcalunay pataudennanto kenca ket mangancanto iti natnateng ti daga,sa pawis ng iyong mukha ay kakain ka ng tinapay hanggang sa ikaw ay mauwi sa lupa sapagkat diyan ka kinuha sapagkat ikaw ay alabok at sa alabok ka uuwi,sisiit kaniyang sa iyong mukha iyo at kakain sa tinapay ang lupain,86.67,
Babaen ti linget ta rupam mangancanto ti taraon agingat dica agsubli iti daga isu a nacabuclam ta tapucca ket iti tapuc agsublicanto,at tinawag na eva ng lalake ang kaniyang asawa sapagkat siya ang naging ina ng lahat ng mga nabubuhay,pamamagitan ang linget at iyong kakain ang pagkain agingat huwag nagbalik sa lupain kaniyang na nacabuclam at nabubuhay at sa nangagsisiusad agsublicanto,110.53,
Ket pinanaganan di lalaki ni asawana iti Eva gapu ta isu ti ina dagiti isuamin a nabiag,at iginawa ng panginoong dios si adam at ang kaniyang asawa ng mga kasuutang balat at silay dinamitan,at pinanaganan baka lalake si kaniyang sa kaniyang dahil at kaniyang ang ina ang isuamin na may,83.33,
Ket ni Jehova Dios inyaramidanna ni Adan ken ni asawana cadagiti pagananay a lalat ket kinawesanna ida,pinalayas sila sa eden,at si panginoon dios iginawa si naging sa si kaniyang sa siyay na balat at sinuutan sila,400.0,
Ket ni Jehova Dios kinunana Adtoy ti lalaki nagbalin a cas maysa cadatayo nga ammona ti naimbag ken ti dakes ket ita di la ket ta igawatna ti imana ken mangala iti cayo ti biag ken mangan ken agbiag a cancanayon,at sinabi ng panginoong dios naritot ang taoy naging parang isa sa atin na nakakakilala ng mabuti at ng masama at baka ngayoy iunat ang kaniyang kamay at pumitas naman ng bunga ng punong kahoy ng buhay at kumain at mabuhay magpakailan man,at si panginoon dios sinabi narito ang lalake naging na at isa atin na aking ang mabuti sa ang masama at ngayon baka kanilang at at igawatna ang kaniyang sa huwag sa kahoy ang mo sa kakain sa mabuhay na palagi,67.44,
Iti casta ni Jehova Dios pinaruarna iti minuyongan ti Eden tapno talonenna ti daga a nacaalaanna,kaya pinalayas siya ng panginoong dios sa halamanan ng eden upang kaniyang bukirin ang lupaing pinagkunan sa kaniya,sa gayoy si panginoon dios pinaruarna sa halamanan ang eden upang talonenna ang lupain na nacaalaanna,72.22,
Ket pinagtalawna ti tao ket insaadna iti daya ti minuyongan ti Eden ti Kerubin ken ti maysa nga sumilsilap a campilan a simmango iti amin a turong tapno bantayanna ti dalan nga agturong iti cayo ti biag,ano pat itinaboy ang lalake at inilagay sa silanganan ng halamanan ng eden ang mga querubin at ang isang nagniningas na tabak na umiikot upang ingatan ang daang patungo sa kahoy ng buhay,at inalis ang tao at ipinatong sa silanganan ang halamanan ang eden ang querubin sa ang isa na sumilsilap na tabak na simmango sa lahat na turong upang bantayanna ang ahas na daan sa kahoy ang mo,69.7,
Da Cain ken Abel,si cain at si abel,moises nilingap sa abel,80.0,
Ket ti lalaki dinennaanna ni asawana nga Eva ket nagsicug ket inyanacna ni Cain ket kinunana Nagunodco ti maysa a lalaki gapu ken Jehova,at nakilala ng lalake si eva na kaniyang asawa at siyay naglihi at ipinanganak si cain at sinabi nagkaanak ako ng lalake sa tulong ng panginoon,at ang lalake dinennaanna si kaniyang na kaniyang at muling at ipinanganak si cain at sinabi nagunodco ang isa na lalake dahil sa panginoon,53.85,
Ket inyanacna manen ni cabsatna nga Abel,at sa muli ay ipinanganak ang kaniyang kapatid na si abel,at inyanacna nagbalik si kaniyang na abel,63.64,
Ket nagaywan ni Abel cadagiti carcarnero ngem ni Cain nagtaltalon,at si abel ay tagapagalaga ng mga tupa datapuwat si cain ay mangbubukid ng lupa,at tumitingin si abel sa gayon ngunit si cain cain ,73.33,
Ket naaramid iti panaglasat dagiti pannawen a ni Cain nangala iti bunga ti daga nga indatonna ken Jehova,at nangyari nang lumalakad ang panahon ay nagdala si cain ng isang handog na mga bunga ng lupa sa panginoon,at nangyari sa panaglasat ang nagdala na si cain kumuha sa bunga ang lupain na naghandog sa panginoon,60.0,
Ket ni Abel nangala met cadagiti inauna nga anac cadagiti pangenna ken dagiti nalucmeg,at nagdala rin naman si abel ng mga panganay ng kaniyang kawan at ng mga taba ng mga yaon,at si abel nangala din sa panganay na bakit sa kaniyang sa ang nalucmeg,84.21,
Ket ni Jehova pinatpategna ni Abel ken ti datonna,at nilingap ng panginoon si abel at ang kaniyang handog,at si panginoon pinatpategna si abel sa ang kaniyang,50.0,
Ngem ni Cain ken ti datonna dina incancano,datapuwat hindi nilingap si cain at ang kaniyang handog,ngunit si nilingap sa ang kaniyang hindi incancano,66.67,
Ket nagpungtot unay ni Cain ket nagliday ti rupana,at naginit na mainam si cain at namanglaw ang kaniyang mukha,at nagpungtot kaniyang si cain at namanglaw ang kaniyang ,36.36,
Ket ni Jehova kinunana ken Cain Apayapay nga agpungpungtotca,at sinabi ng panginoon kay cain bakit ka naginit,at si panginoon sinabi sa cain kaniya na agpungpungtotca,66.67,
ket apayapay narupanget ta rupam,at bakit namanglaw ang iyong mukha,at bakit narupanget at iyong,50.0,
,,,,76.45690000000002
